GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.common,ThreadLocalIndex,6,64,2,4,2,14,2,4,0,3
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.common,ClientErrorCode,3,0,0,0,1,0,1,0,1,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullMessageService,29,99,2,4,8,28,4,7,2,6
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl,226,53,28,2,62,14,19,7,4,6
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ProcessQueue,560,376,38,22,112,105,42,20,16,16
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceImpl.new Object() {...},4,33,0,0,0,2,0,1,0,1
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullRequest,107,41,22,0,24,17,14,11,3,11
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceImpl,589,470,71,35,136,115,52,26,8,16
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},10,0,0,0,3,0,2,0,2,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPullConsumerImpl,807,490,65,27,179,121,84,21,36,21
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService,369,240,37,14,85,55,32,12,8,9
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.1.new Runnable() {...},57,0,0,0,10,0,2,0,2,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePullImpl,42,18,2,0,15,5,7,2,6,2
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Object() {...},4,29,0,0,0,1,0,1,0,1
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},38,0,2,0,6,0,3,0,2,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},10,12,0,0,2,1,1,1,1,1
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceService,0,53,0,2,0,13,0,5,0,4
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new Object() {...},10,73,0,0,0,3,0,1,0,1
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl.new Runnable() {...},25,0,0,0,4,0,2,0,2,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new PullCallback() {...},92,163,12,7,20,27,12,2,1,2
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl.new Object() {...},47,0,0,0,1,0,1,0,1,0
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullAPIWrapper,195,231,30,16,44,64,25,12,6,8
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService,430,205,48,14,107,55,44,11,10,10
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.ConsumeRequest,128,160,18,12,26,39,14,6,0,5
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl,1234,854,113,64,247,207,123,37,34,35
rocketmq-client 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.ConsumeRequest,227,209,36,20,48,50,28,4,0,4
