GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,Pair,8,15,0,0,4,6,2,3,2,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,RemotingUtil.new ChannelFutureListener() {...},0,15,0,0,0,4,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,RemotingUtil,261,41,36,4,80,12,29,3,9,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,ServiceThread,153,95,10,2,41,24,14,5,8,5
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,RemotingHelper,264,44,48,4,80,10,32,2,6,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.common,SemaphoreReleaseOnlyOnce,3,25,2,2,1,8,3,2,1,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingSendRequestException,19,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingCommandException,10,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingTooMuchRequestException,4,0,0,0,2,0,1,0,1,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingException,9,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingConnectException,19,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.exception,RemotingTimeoutException,28,0,0,0,6,0,3,0,3,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient,560,480,91,39,134,121,71,16,8,14
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.NettyConnectManageHandler,135,54,14,4,27,13,12,3,3,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.NettyEventExecuter,111,17,13,0,23,4,10,2,2,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new Runnable() {...},65,56,7,5,16,13,5,3,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new Runnable() {...},4,15,0,0,2,4,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyDecoder,45,42,8,2,5,12,5,3,0,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},35,23,1,1,6,4,1,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},47,23,1,1,10,4,1,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer,83,243,10,10,22,58,19,7,9,7
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyServerConfig,48,69,0,0,23,23,12,12,12,12
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract,332,309,23,16,71,76,19,12,1,10
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyEvent,43,0,0,0,9,0,5,0,5,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyEncoder,27,21,3,1,6,8,2,3,0,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ChannelInitializer() {...},0,56,0,0,0,5,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new TimerTask() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.ChannelWrapper,6,25,2,2,1,6,3,4,1,4
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,ResponseFuture,85,79,4,4,12,26,11,10,8,9
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.NettyConnetManageHandler,95,62,10,2,20,19,8,5,2,5
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettySystemConfig,3,26,0,0,1,10,1,1,1,1
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ChannelInitializer() {...},0,56,0,0,0,5,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new TimerTask() {...},5,11,0,0,2,4,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,42,0,0,0,4,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyClientConfig,53,61,0,0,25,20,14,9,14,9
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},14,19,1,1,1,4,1,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new Object() {...},6,45,0,0,0,2,0,1,0,1
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},42,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},15,12,0,0,1,2,1,1,1,1
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.NettyClientHandler,0,12,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.NettyServerHandler,0,12,0,0,0,3,0,2,0,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,RequestTask,150,25,29,1,26,10,21,2,6,2
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyEventType,5,53,0,0,0,5,1,3,1,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingSerializable,13,43,3,1,5,11,3,8,1,8
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,LanguageCode,9,138,2,2,1,17,3,5,1,5
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,SerializeType,9,61,2,2,1,10,3,5,1,5
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingSysResponseCode,3,0,0,0,1,0,1,0,1,0
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingCommand.new Object() {...},2,17,0,0,0,1,0,1,0,1
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingCommandType,5,33,0,0,0,3,1,3,1,3
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RocketMQSerializable,7,365,10,36,3,89,11,20,1,7
rocketmq-remoting 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingCommand,210,738,28,57,43,206,30,65,7,45
