GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,TransientStorePool,111,31,7,1,22,9,8,3,4,3
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,MessageExtBrokerInner,23,6,4,0,8,2,6,2,4,2
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,AppendMessageStatus,5,63,0,0,0,6,1,3,1,3
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,AllocateMappedFileService,300,285,46,30,48,70,34,11,0,7
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,GetMessageStatus,9,99,0,0,0,10,2,2,2,2
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,CommitLog.GroupCommitRequest,5,34,0,0,3,11,0,4,0,4
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,CommitLog.new Object() {...},5,35,0,0,0,1,0,1,0,1
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,MappedFileQueue,649,553,87,61,165,135,68,43,17,20
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,StoreCheckpoint,18,205,1,3,7,44,4,10,3,9
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,DefaultMessageStore.CleanConsumeQueueService,85,9,10,0,22,2,8,1,3,1
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,CommitLog,1070,596,123,41,232,141,96,27,20,19
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,DefaultMessageFilter,28,3,8,0,9,1,5,1,1,1
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,DefaultMessageStore.CleanCommitLogService,382,27,48,0,83,8,33,1,9,1
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,MappedFile,769,583,66,46,128,126,64,37,19,26
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,PutMessageResult,28,23,2,2,5,7,6,3,4,3
rocketmq-store 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.store,QueryMessageResult,72,0,2,0,20,0,10,0,9,0
